index,POI
"(21, 57)","基础设施:交通设施:公交车站,购物:数码家电,房产小区:住宅区:住宅小区,美食:烧烤,美食:小吃快餐,机构团体:政府机关,美食:烧烤,美食:小吃快餐,基础设施:交通设施:地铁站,房产小区:住宅区:住宅小区,地名地址:行政地名,美食:小吃快餐,房产小区:住宅区:住宅小区,教育学校:小学,房产小区:住宅区:住宅小区,生活服务:其它生活服务,房产小区:住宅区:住宅小区,美食:小吃快餐,美食:中餐厅:其它中餐厅,美食:烧烤"
"(21, 49)",房产小区:商务楼宇
"(21, 47)",美食:中餐厅:其它中餐厅
"(21, 43)",购物:家具家居建材:建材
"(22, 43)",购物:家具家居建材:建材
"(19, 42)","生活服务:邮局速递:速递,购物:农贸市场,娱乐休闲:洗浴推拿足疗:洗浴,地名地址:行政地名,医疗保健:卫生院,汽车:其它汽车,购物:超市,基础设施:交通设施:公交车站,教育学校:幼儿园,酒店宾馆:旅馆招待所,生活服务:美容美发:美发,购物:农贸市场,地名地址:道路名,购物:超市,娱乐休闲:其它娱乐休闲,公司企业:公司企业,购物:数码家电,医疗保健:药房药店,购物:超市,酒店宾馆:酒店宾馆"
"(20, 57)","教育学校:培训,房产小区:住宅区:住宅小区,房产小区:产业园区,地名地址:行政地名,基础设施:交通设施:公交车站,地名地址:行政地名,美食:中餐厅:湘菜,美食:中餐厅:其它中餐厅,房产小区:住宅区:住宅小区,公司企业:企业/工厂,房产小区:住宅区:住宅小区,房产小区:商务楼宇,购物:超市,房产小区:商务楼宇,生活服务:邮局速递:物流公司,公司企业:公司企业,公司企业:公司企业,公司企业:公司企业,公司企业:公司企业,酒店宾馆:酒店宾馆"
"(21, 56)",旅游景点:公园
"(21, 55)",None
"(21, 54)","基础设施:道路附属:桥,旅游景点:公园,酒店宾馆:经济型酒店,购物:家具家居建材:家具家居,公司企业:企业/工厂,地名地址:行政地名,基础设施:道路附属:桥,地名地址:行政地名,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,基础设施:交通设施:火车站,地名地址:行政地名,娱乐休闲:其它娱乐休闲,房产小区:产业园区,地名地址:行政地名,娱乐休闲:电影院,地名地址:行政地名,房产小区:房产小区附属,购物:家具家居建材:家具家居,购物:家具家居建材:建材"
