index,POI
"(13, 15)","文化场馆:展览馆,生活服务:美容美发:美容SPA,基础设施:交通设施:地铁站,公司企业:公司企业,房产小区:产业园区,机构团体:政府机关,银行金融:证券公司,酒店宾馆:酒店宾馆,房产小区:商务楼宇,酒店宾馆:酒店宾馆,房产小区:商务楼宇,房产小区:商务楼宇,机构团体:政府机关,生活服务:其它生活服务,酒店宾馆:其它酒店宾馆,生活服务:摄影冲印,房产小区:商务楼宇,机构团体:政府机关,房产小区:商务楼宇,机构团体:政府机关"
"(12, 15)","文化场馆:展览馆,生活服务:美容美发:美容SPA,基础设施:交通设施:地铁站,公司企业:公司企业,房产小区:产业园区,机构团体:政府机关,银行金融:证券公司,酒店宾馆:酒店宾馆,房产小区:商务楼宇,酒店宾馆:酒店宾馆,房产小区:商务楼宇,房产小区:商务楼宇,机构团体:政府机关,生活服务:其它生活服务,酒店宾馆:其它酒店宾馆,生活服务:摄影冲印,房产小区:商务楼宇,机构团体:政府机关,房产小区:商务楼宇,机构团体:政府机关"
"(14, 15)",房产小区:商务楼宇
"(12, 14)","基础设施:道路附属:收费站,房产小区:产业园区,公司企业:公司企业,基础设施:交通设施:地铁站,房产小区:产业园区,旅游景点:公园,汽车:汽车俱乐部,房产小区:住宅区:住宅小区,公司企业:公司企业,房产小区:住宅区:住宅小区,房产小区:产业园区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:产业园区,地名地址:行政地名,教育学校:培训:体育培训,教育学校:培训,酒店宾馆:酒店宾馆,地名地址:行政地名,房产小区:房产小区附属"
"(12, 16)","酒店宾馆:星级酒店,房产小区:商务楼宇,房产小区:商务楼宇,房产小区:商务楼宇,房产小区:产业园区,房产小区:商务楼宇,房产小区:商务楼宇,房产小区:商务楼宇,购物:数码家电,房产小区:商务楼宇,购物:其它购物,房产小区:商务楼宇,娱乐休闲:户外活动:水上活动中心,房产小区:商务楼宇,房产小区:商务楼宇,娱乐休闲:亲子,美食:小吃快餐,购物:综合商场:购物中心,房产小区:商务楼宇,美食:中餐厅:川菜"
"(12, 17)",None
"(12, 18)",旅游景点:公园
"(12, 21)",机构团体:其它机构团体
"(12, 19)",旅游景点:公园
"(14, 22)","旅游景点:景点公园附属,地名地址:行政地名,地名地址:行政地名,基础设施:道路附属:路口,地名地址:行政地名,教育学校:职业技术学校,基础设施:道路附属:路口,地名地址:行政地名,地名地址:道路名,娱乐休闲:亲子,地名地址:道路名,地名地址:行政地名,基础设施:交通设施:地铁站,地名地址:道路名,基础设施:道路附属:路口,室内及附属设施:通行设施类:门/出入口,旅游景点:景点公园附属,旅游景点:景点公园附属,生活服务:其它生活服务,机构团体:政府机关"
