index,POI
"(9, 24)","旅游景点:公园,教育学校:小学,教育学校:中学,基础设施:道路附属:路口,教育学校:小学,旅游景点:城市广场,旅游景点:其它旅游景点,美食:其它美食,公司企业:公司企业,地名地址:行政地名,地名地址:行政地名,旅游景点:海滩,地名地址:行政地名,地名地址:道路名,房产小区:住宅区:住宅小区,旅游景点:其它旅游景点,地名地址:道路名,基础设施:道路附属:路口,基础设施:道路附属:路口,生活服务:废品收购站"
"(4, 17)","基础设施:交通设施:地铁站,美食:小吃快餐,房产小区:住宅区:住宅小区,美食:清真,酒店宾馆:酒店宾馆,美食:火锅,购物:烟酒专卖,机构团体:科研机构,购物:商业步行街,购物:服饰鞋包:服装,地名地址:行政地名,医疗保健:专科医院:整形,酒店宾馆:星级酒店,机构团体:政府机关,旅游景点:国家级景点,教育学校:大学,购物:家具家居建材:灯具用品,购物:其它购物,酒店宾馆:酒店宾馆,教育学校:教育学校附属"
"(5, 15)","美食:小吃快餐,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,生活服务:家政:月嫂保姆,医疗保健:综合医院,生活服务:美容美发:美发,美食:火锅,房产小区:住宅区:住宅小区,医疗保健:专科医院:齿科,美食:火锅,美食:清真,教育学校:幼儿园,房产小区:住宅区:住宅小区,地名地址:行政地名,美食:小吃快餐,购物:超市,房产小区:住宅区:住宅小区,教育学校:小学"
"(5, 17)","基础设施:交通设施:地铁站,美食:小吃快餐,房产小区:住宅区:住宅小区,美食:清真,酒店宾馆:酒店宾馆,美食:火锅,购物:烟酒专卖,机构团体:科研机构,购物:商业步行街,购物:服饰鞋包:服装,地名地址:行政地名,医疗保健:专科医院:整形,酒店宾馆:星级酒店,机构团体:政府机关,旅游景点:国家级景点,教育学校:大学,购物:家具家居建材:灯具用品,购物:其它购物,酒店宾馆:酒店宾馆,教育学校:教育学校附属"
"(6, 15)",医疗保健:专科医院:儿科
"(6, 16)","旅游景点:风景名胜,基础设施:交通设施:地铁站,房产小区:商务楼宇,美食:中餐厅:其它中餐厅,酒店宾馆:酒店宾馆,购物:综合商场,购物:服饰鞋包:服装,酒店宾馆:酒店宾馆,房产小区:住宅区:其它住宅区,购物:数码家电,美食:中餐厅:西北菜,美食:冷饮店,酒店宾馆:酒店宾馆,娱乐休闲:咖啡厅,酒店宾馆:青年旅社,购物:服饰鞋包:服装,房产小区:商务楼宇,购物:数码家电,房产小区:商务楼宇,购物:数码家电"
"(5, 13)","房产小区:住宅区:其它住宅区,生活服务:美容美发:美发,医疗保健:专科医院:妇产科,美食:烧烤,生活服务:美容美发:美发,购物:便利店,美食:火锅,生活服务:美容美发:美发,美食:海鲜,医疗保健:专科医院:妇产科,美食:火锅,房产小区:住宅区:住宅小区,房产小区:房产小区附属,教育学校:幼儿园,房产小区:住宅区:住宅小区,购物:便利店,房产小区:住宅区:住宅小区,酒店宾馆:酒店宾馆,房产小区:住宅区:住宅小区,美食:烧烤"
"(3, 13)","购物:综合商场:购物中心,购物:其它购物,银行金融:银行,房产小区:住宅区:住宅小区,生活服务:彩票:彩票彩券销售点,生活服务:家政:月嫂保姆,房产小区:商务楼宇,购物:烟酒专卖,机构团体:科研机构,美食:自助餐,美食:火锅,娱乐休闲:咖啡厅,娱乐休闲:酒吧,房产小区:住宅区:住宅小区,购物:服饰鞋包:服装,娱乐休闲:酒吧,购物:服饰鞋包:服装,美食:冷饮店,汽车:汽车销售,房产小区:商务楼宇"
"(4, 13)",房产小区:住宅区:住宅小区
"(5, 14)",运动健身:台球馆
"(5, 12)","美食:海鲜,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,美食:中餐厅:其它中餐厅,娱乐休闲:KTV,医疗保健:综合医院,房产小区:住宅区:住宅小区,美食:中餐厅:西北菜,美食:火锅,娱乐休闲:洗浴推拿足疗:足疗,汽车:汽车配件销售,酒店宾馆:酒店宾馆,美食:小吃快餐,房产小区:住宅区:住宅小区,美食:火锅,酒店宾馆:酒店宾馆,房产小区:住宅区:住宅小区,房产小区:商务楼宇,生活服务:装修,酒店宾馆:经济型酒店"
"(2, 12)",房产小区:产业园区
"(0, 12)",房产小区:住宅区:住宅小区
"(1, 12)",房产小区:住宅区:住宅小区
"(1, 13)",教育学校:大学
"(0, 13)",教育学校:大学
"(1, 16)","美食:中餐厅:其它中餐厅,酒店宾馆:星级酒店,房产小区:住宅区:住宅小区,基础设施:交通设施:公交车站,生活服务:婚庆服务,旅游景点:城市广场,房产小区:住宅区:住宅小区,银行金融:银行,房产小区:住宅区:住宅小区,生活服务:婚庆服务,娱乐休闲:KTV,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,美食:小吃快餐,酒店宾馆:星级酒店,教育学校:中学,地名地址:热点区域:商圈类,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区"
"(3, 14)","房产小区:商务楼宇,房产小区:商务楼宇,公司企业:公司企业,房产小区:产业园区,公司企业:公司企业,生活服务:装修,房产小区:住宅区:住宅小区,美食:小吃快餐,机构团体:科研机构,房产小区:住宅区:住宅小区,生活服务:邮局速递:物流公司,公司企业:公司企业,房产小区:住宅区:住宅小区,酒店宾馆:酒店宾馆,娱乐休闲:茶馆,房产小区:商务楼宇,公司企业:公司企业,生活服务:招聘求职,房产小区:商务楼宇,公司企业:公司企业"
"(3, 15)","机构团体:政府机关,酒店宾馆:经济型酒店,房产小区:住宅区:住宅小区,地名地址:行政地名,购物:家具家居建材:家具家居,美食:中餐厅:川菜,地名地址:行政地名,公司企业:公司企业,房产小区:住宅区:住宅小区,公司企业:公司企业,运动健身:台球馆,教育学校:大学,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,购物:家具家居建材,教育学校:中学,公司企业:企业/工厂,酒店宾馆:酒店宾馆,购物:超市,生活服务:招聘求职"
"(3, 16)",None
